Y,X,trfc,wtr,ntr,rsda,recr,frst,sports,parks,agric
52.15131, 4.68048,223.607,316.228,4123.11,0.0,1503.33,1702.94,728.011,100.0,400.0
52.3556, 4.96993,223.607,100.0,905.539,0.0,200.0,1664.33,509.902,100.0,412.311
51.94095, 4.38538,100.0,412.311,1303.84,0.0,500.0,721.11,806.226,100.0,200.0
53.20317, 5.82213,282.843,100.0,400.0,100.0,500.0,1802.78,424.264,360.555,700.0
53.20309, 5.82233,282.843,100.0,400.0,100.0,500.0,1802.78,424.264,360.555,700.0
53.20314, 5.82232,282.843,100.0,400.0,100.0,500.0,1802.78,424.264,360.555,700.0
51.85786, 4.33135,100.0,282.843,1780.45,360.555,781.025,1118.03,0.0,360.555,141.421
51.54035, 5.07242,300.0,500.0,3101.61,360.555,2842.53,412.311,100.0,282.843,412.311
52.35157, 4.97564,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.98782, 5.89898,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.01005, 5.8797,141.421,2080.87,921.954,100.0,670.82,0.0,707.107,200.0,316.228
53.18659, 5.79509,100.0,424.264,2842.53,100.0,2607.68,1900.0,848.528,0.0,300.0
53.20308, 5.82192,223.607,0.0,500.0,100.0,583.095,1860.11,360.555,424.264,800.0
51.98783, 5.89882,200.0,360.555,282.843,0.0,1004.99,900.0,1315.29,360.555,223.607
51.98786, 5.89916,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.35165, 4.97567,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35167, 4.9757,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.98783, 5.89945,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98789, 5.89906,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.35161, 4.9756,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35311, 4.97633,141.421,100.0,640.312,0.0,583.095,1166.19,360.555,223.607,806.226
51.92225, 4.47901,100.0,670.82,2901.72,223.607,1802.78,2385.37,1200.0,854.4,1272.79
52.04831, 4.52678,300.0,200.0,4472.14,565.685,500.0,3939.54,0.0,860.233,1019.8
52.35159, 4.97602,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35176, 4.97593,223.607,141.421,707.107,0.0,670.82,1118.03,447.214,282.843,761.577
52.35592, 4.96828,223.607,100.0,1004.99,100.0,223.607,1746.42,608.276,0.0,316.228
52.93169, 4.76872,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
51.98747, 5.89936,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.99594, 5.89431,200.0,223.607,860.233,141.421,1334.17,223.607,640.312,0.0,538.516
52.93203, 4.76895,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.93231, 4.76958,200.0,223.607,632.456,0.0,2418.68,1303.84,583.095,200.0,300.0
52.35161, 4.97567,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.93219, 4.76928,200.0,223.607,632.456,0.0,2418.68,1303.84,583.095,200.0,300.0
52.90537, 4.80473,400.0,500.0,761.577,1118.03,3807.89,700.0,1902.63,1140.18,0.0
51.98805, 5.90028,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98786, 5.89908,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
43.16362, 13.44679,NN,NN,NN,NN,NN,NN,NN,NN,NN
43.16353, 13.44697,NN,NN,NN,NN,NN,NN,NN,NN,NN
43.77634, 11.25071,NN,NN,NN,NN,NN,NN,NN,NN,NN
52.94944, 4.7668,300.0,223.607,1552.42,100.0,2641.97,860.233,447.214,282.843,921.954
51.98814, 5.89893,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.93101, 4.77607,223.607,500.0,1044.03,0.0,2828.43,1627.88,223.607,100.0,200.0
51.98783, 5.8999,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98782, 5.89912,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.35169, 4.97586,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.93202, 4.76884,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
51.98781, 5.89909,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98786, 5.89904,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.01012, 4.58901,300.0,400.0,1300.0,223.607,1500.0,2102.38,316.228,100.0,282.843
52.34056, 5.64295,100.0,1769.18,447.214,0.0,1170.47,200.0,900.0,509.902,600.0
52.27184, 6.17055,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.27154, 6.17029,223.607,728.011,1140.18,100.0,2607.68,824.621,781.025,200.0,500.0
52.93195, 4.76895,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.93192, 4.76906,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
51.11303, 5.27993,17336.7,19396.1,17503.4,19151.0,18713.1,16624.4,19997.0,19912.3,16667.6
51.98796, 5.89902,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98789, 5.89902,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.93212, 4.76851,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.93172, 4.76886,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
51.98791, 5.89942,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98793, 5.89911,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98808, 5.89902,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.2716, 6.17052,316.228,632.456,1063.01,0.0,2662.71,728.011,824.621,100.0,412.311
52.27178, 6.17055,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.35151, 4.97576,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.23881, 5.70028,200.0,4100.0,848.528,360.555,141.421,0.0,282.843,6630.99,100.0
51.98801, 5.89878,200.0,360.555,282.843,0.0,1004.99,900.0,1315.29,360.555,223.607
52.93198, 4.76889,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.27194, 6.17077,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.27164, 6.17047,316.228,632.456,1063.01,0.0,2662.71,728.011,824.621,100.0,412.311
52.35152, 4.97576,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35152, 4.97578,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.98793, 5.89913,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
51.98777, 5.89912,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.23892, 5.70031,200.0,4100.0,848.528,360.555,141.421,0.0,282.843,6630.99,100.0
52.93202, 4.76892,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.34634, 4.9515,360.555,141.421,2109.5,100.0,1769.18,1746.42,0.0,316.228,583.095
52.34634, 4.9515,360.555,141.421,2109.5,100.0,1769.18,1746.42,0.0,316.228,583.095
52.3515, 4.97576,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.98804, 5.89909,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.65236, 5.7571,100.0,1345.36,1414.21,2039.61,4440.72,565.685,2640.08,3087.07,0.0
52.35154, 4.97579,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.93219, 4.76945,200.0,223.607,632.456,0.0,2418.68,1303.84,583.095,200.0,300.0
51.98799, 5.89931,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.27162, 6.17051,316.228,632.456,1063.01,0.0,2662.71,728.011,824.621,100.0,412.311
52.27163, 6.17046,316.228,632.456,1063.01,0.0,2662.71,728.011,824.621,100.0,412.311
52.35155, 4.97581,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35156, 4.97593,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
53.09898, 6.08073,100.0,608.276,2886.17,0.0,640.312,1170.47,360.555,200.0,921.954
52.27175, 6.17064,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.27171, 6.17043,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.35128, 4.97681,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.98803, 5.89905,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.23893, 5.70011,200.0,4100.0,848.528,360.555,141.421,0.0,282.843,6630.99,100.0
52.27167, 6.17039,300.0,608.276,1000.0,0.0,2745.91,707.107,806.226,100.0,400.0
52.27162, 6.17064,316.228,632.456,1063.01,0.0,2662.71,728.011,824.621,100.0,412.311
53.09903, 6.08055,200.0,707.107,2789.27,0.0,565.685,1208.3,400.0,200.0,848.528
52.23893, 5.70011,200.0,4100.0,848.528,360.555,141.421,0.0,282.843,6630.99,100.0
51.98797, 5.89895,100.0,316.228,223.607,0.0,1000.0,905.539,1303.84,282.843,141.421
52.15131, 4.68048,223.607,316.228,4123.11,0.0,1503.33,1702.94,728.011,100.0,400.0
52.93201, 4.769,223.607,200.0,538.516,0.0,2319.48,1253.0,670.82,200.0,300.0
52.35148, 4.97581,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35153, 4.97579,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
52.35133, 4.97555,316.228,223.607,781.025,0.0,761.577,1077.03,538.516,223.607,707.107
51.31764, 3.85344,0.0,412.311,2459.67,100.0,6711.93,1204.16,608.276,300.0,600.0
