cat,percentile_60,percentile_40,percentile_50,percentile_30,percentile_80,percentile_90,percentile_20,percentile_10,percentile_100,percentile_70
covOftrfc,3.0,2.0,3.0,1.0,5.0,8.0,1.0,0.0,69.0,4.0
covOfwtr,18.0,5.0,8.0,3.0,88.0,100.0,2.0,1.0,100.0,42.0
covOfntr,4.0,1.0,2.0,0.0,14.0,30.0,0.0,0.0,100.0,7.0
covOfrsda,10.0,1.0,4.0,0.0,32.0,52.0,0.0,0.0,98.0,19.0
covOfoffice,3.0,1.0,2.0,0.0,11.0,25.0,0.0,0.0,100.0,6.0
covOfrecr,1.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,84.0,2.0
covOffrst,5.0,1.0,3.0,0.0,15.0,33.0,0.0,0.0,100.0,8.0
covOfsports,2.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,87.0,3.0
covOfparks,2.0,0.0,1.0,0.0,6.0,11.0,0.0,0.0,76.0,4.0
covOfagric,81.0,49.0,68.0,25.0,94.0,97.0,6.0,0.0,100.0,89.0
